lipids,converted_lipid_name
FA 16:0,FA 16:0
FA 16:0,FA 16:0
FA 18:2,FA 18:2
FA 18:2,FA 18:2
FA 18:2,FA 18:2
FA 18:1,FA 18:1
FA 18:1,FA 18:1
FA 18:0,FA 18:0
FA 18:0,FA 18:0
FA 18:1;O,FA 18:1(O)
FA 18:1(2OH),FA 18:1(2OH)
FA 18:0;O,FA 18:0(O)
FA 20:4,FA 20:4
FA 20:4,FA 20:4
FA 20:1,FA 20:1
FA 20:4;O,FA 20:4(O)
FA 20:4;O,FA 20:4(O)
FA 20:4;O,FA 20:4(O)
FA 20:4;O,FA 20:4(O)
FA 20:4;O,FA 20:4(O)
FA 20:4;O,FA 20:4(O)
FA 22:6,FA 22:6
FA 22:6,FA 22:6
FA 22:5,FA 22:5
FA 22:4,FA 22:4
FA 22:4,FA 22:4
FA 26:6,FA 26:6
FA 28:7,FA 28:7
FA 28:7,FA 28:7
FA 28:6,FA 28:6
FA 27:1;O,FA 27:1(O)
FA 28:1;O,FA 28:1(O)
LPE 16:0,LPE 16:0
LPE 16:0,LPE 16:0
LPE 16:0,LPE 16:0
LPE 16:0,LPE 16:0
LPE 16:0,LPE 16:0
FA 32:9,FA 32:9
LPE O-18:2,LPEO 18:2
LPE O-18:1,LPEO 18:1
ST 27:1;O;S,ST 27:1(O)(S)
LPE O-18:0,LPEO 18:0
LPE O-18:0,LPEO 18:0
FA 32:6,FA 32:6
LPE 18:2,LPE 18:2
LPE 18:2,LPE 18:2
LPE 18:2,LPE 18:2
LPE 18:2,LPE 18:2
LPE 18:2,LPE 18:2
LPE 18:2,LPE 18:2
FA 32:1,FA 32:1
LPE 18:1,LPE 18:1
LPE 18:1,LPE 18:1
LPE 18:1,LPE 18:1
LPE 18:1,LPE 18:1
LPE 18:1,LPE 18:1
ST 28:1;O;S,ST 28:1(O)(S)
LPE 18:0,LPE 18:0
LPE 18:1(d7),LPE 18:1(d7)
LPE 18:1(d7),LPE 18:1(d7)
LPE 18:1(d7),LPE 18:1(d7)
LPE 18:1(d7),LPE 18:1(d7)
LPE O-20:4,LPEO 20:4
LPE O-20:4,LPEO 20:4
LPE O-20:0,LPEO 20:0
FA 34:6,FA 34:6
BA 24:1;O3;T,BA 24:1(O3)(T)
LPE 20:4,LPE 20:4
LPE 20:4,LPE 20:4
LPE 20:4,LPE 20:4
LPE 20:4,LPE 20:4
LPG O-19:5,LPGO 19:5
FA 34:1,FA 34:1
FA 34:1,FA 34:1
LPE 20:1,LPE 20:1
LPE 20:1,LPE 20:1
BA 24:1;O4;T,BA 24:1(O4)(T)
FA 36:8,FA 36:8
LPE 22:6,LPE 22:6
LPE 22:6,LPE 22:6
LPE 22:6,LPE 22:6
LPE 22:6,LPE 22:6
LPE 22:6,LPE 22:6
LPE 22:6,LPE 22:6
SL 29:3;O|SL 15:2;O/14:1,SL 29:3(O)|SL 15:2(O/14:1)
FA 36:1,FA 36:1
FA 36:0,FA 36:0
LPS 20:4,LPS 20:4
BA 24:1;O5;G;S,BA 24:1(O5)(G;S)
LPS 20:4,LPS 20:4
FA 38:6,FA 38:6
FA 38:5,FA 38:5
LPS 22:6,LPS 22:6
LPS 22:6,LPS 22:6
LPS 22:6,LPS 22:6
LPA 28:2,LPA 28:2
LPA 28:2,LPA 28:2
FA 40:9,FA 40:9
FA 40:9,FA 40:9
SL 32:0;O|SL 17:0;O/15:0,SL 32:0(O)|SL 17:0(O/15:0)
SL 32:0;O|SL 17:0;O/15:0,SL 32:0(O)|SL 17:0(O/15:0)
SL 32:0;O|SL 17:0;O/15:0,SL 32:0(O)|SL 17:0(O/15:0)
FA 40:8,FA 40:8
FA 40:8,FA 40:8
FA 40:7,FA 40:7
FA 40:7,FA 40:7
FA 40:6,FA 40:6
FA 40:6,FA 40:6
FA 40:5,FA 40:5
FA 40:5,FA 40:5
SL 33:0;O|SL 17:0;O/16:0,SL 33:0(O)|SL 17:0(O/16:0)
CerP 33:6;O2,CerP 33:6(O2)
SL 33:1;O2|SL 17:0;O/16:1;O,SL 33:1(O2)|SL 17:0(O/16:1;O)
SL 33:0;O2|SL 17:0;O/16:0;O,SL 33:0(O2)|SL 17:0(O/16:0;O)
SL 33:0;O2|SL 17:0;O/16:0;O,SL 33:0(O2)|SL 17:0(O/16:0;O)
FA 42:5,FA 42:5
FA 42:5,FA 42:5
FA 42:5,FA 42:5
SL 34:0;O2|SL 17:0;O/17:0;O,SL 34:0(O2)|SL 17:0(O/17:0;O)
LPI 20:4,LPI 20:4
LPI 20:4,LPI 20:4
LPI 20:4,LPI 20:4
FA 44:10,FA 44:10
FA 44:10,FA 44:10
FA 44:5,FA 44:5
PE O-34:3|PE O-16:1_18:2,PEO 34:3(m)|PE O-16:1_18:2(m2)
PE O-34:3|PE O-16:1_18:2,PEO 34:3(m)|PE O-16:1_18:2(m2)
PE O-34:2|PE O-16:0_18:2,PEO 34:2(m)|PE O-16:0_18:2(m2)
PE O-34:2|PE O-16:1_18:1,PEO 34:2(m)|PE O-16:1_18:1(m2)
PE O-34:1|PE O-16:0_18:1,PEO 34:1(m)|PE O-16:0_18:1(m2)
PE O-34:0|PE O-18:0_16:0,PEO 34:0(m)|PE O-18:0_16:0(m2)
PE O-34:0|PE O-18:0_16:0,PEO 34:0(m)|PE O-18:0_16:0(m2)
PE 33:1(d7)|PE 15:0_18:1(d7),PE 33:1(d7)|PE 15:0_18:1(d7)
PE 34:2|PE 16:0_18:2,PE 34:2(m)|PE 16:0_18:2(m2)
LPE-N (FA)34:2|LPE-N (FA 16:0)18:2,LPEN (FA)34:2(m)|LPEN (FA 16:0)18:2(m2)
PE 34:1|PE 16:0_18:1,PE 34:1(m)|PE 16:0_18:1(m2)
PE O-36:5|PE O-16:1_20:4,PEO 36:5(m)|PE O-16:1_20:4(m2)
PE O-36:4|PE O-16:0_20:4,PEO 36:4(m)|PE O-16:0_20:4(m2)
PE O-36:4|PE O-16:0_20:4,PEO 36:4(m)|PE O-16:0_20:4(m2)
PE O-36:3|PE O-18:1_18:2,PEO 36:3(m)|PE O-18:1_18:2(m2)
