lipid_id,lipids,160_Plasma,163_Plasma,167_Plasma,168_Plasma,158_Plasma,161_Plasma,162_Plasma,164_Plasma,170_Plasma
2841_n,FA 16:0,6908122.5,8025548.5,8909484,8121045,9006721,8007834.5,8817039,8225592,7707653
2843_n,FA 16:0,40417716,33593208,28334046,30044948,29652568,29483814,30719576,24733562,24802472
4172_n,FA 18:2,10116063,13085279,14706152,13408709,14324500,12722436,14738941,12353754,11881613
4173_n,FA 18:2,7939542,4900625,4280852,5982188.5,7056360.5,6151504,3418031.75,5110744,3702930
4175_n,FA 18:2,73234640,49977112,32319136,41849276,37923512,42384316,41450944,34544396,28832878
4294_n,FA 18:1,9217406,10011056,10425447,10906247,11086923,10739263,10507578,11057714,9361581
4295_n,FA 18:1,83551736,63883328,36568552,50438392,51476680,51420776,51633672,40190512,39577608
4394_n,FA 18:0,28186468,24794340,23376662,22763064,25355394,21253262,24173316,18327504,18554066
4396_n,FA 18:0,5751049,7405526,7938601,7201459,7825901,7342196.5,7846622,6918833,6966333
5102_n,FA 18:1;O,4148889.5,4248743.5,4664854,4524506,4949823.5,4680511,4740038.5,4692584.5,4352733
5107_n,FA 18:1(2OH),28404722,28905356,20069572,22799896,20823716,24984376,23385384,20663682,20083782
5204_n,FA 18:0;O,20673420,19467938,17995118,18865516,18566242,18429766,18731080,17414288,17448558
5417_n,FA 20:4,25368246,31799606,33783512,33841052,35429552,30985064,34437936,30711426,31472296
5418_n,FA 20:4,98636464,68792296,64906832,63150788,53883796,51741872,54382380,46004484,44257928
5754_n,FA 20:1,1257000.25,1231064.875,645988.5625,1192247.375,1182723.625,867929.125,906785.375,538257.5625,406556.1563
6242_n,FA 20:4;O,171742144,22220078,28105272,19552826,4719209.5,30235100,31101258,4075584,4316362
6244_n,FA 20:4;O,167633344,24334002,29678528,19192218,4455783.5,30028380,33518228,3939994.75,4176203
6245_n,FA 20:4;O,179125024,26824902,31529734,21004538,5196558,31791754,35301088,4426654,4855448
6246_n,FA 20:4;O,163952320,23629002,28782196,18535298,4191757.5,28931216,32540554,3804090.75,4003069.75
6247_n,FA 20:4;O,163532272,23717478,28849332,18551816,4304425.5,28746266,32639712,3823271.5,4060534.75
6248_n,FA 20:4;O,160347168,23173632,28380198,18241304,4147995,28066612,32047162,3750898.5,4008069.75
